system:index,distance_to_road_m,grid_id,latitude,longitude,.geo
00000000000000000047,1899.3358080817418,HYD_0072,17.566236224578997,78.361180744498,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,820.0971773787683,HYD_0073,17.566488503043363,78.38000817905987,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,981.8263727595566,HYD_0074,17.566610782355408,78.38942248684701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,996.2741381486709,HYD_0075,17.566733386881264,78.39883562599661,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,901.3531801467755,HYD_0076,17.566858254068503,78.40824877955703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,378.52431449360165,HYD_0077,17.566980894543462,78.41766194666175,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,203.9254327664064,HYD_0078,17.567103507961328,78.42707510291777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,989.4415991741976,HYD_0079,17.567226491349537,78.4364893740968,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,1372.0521214173748,HYD_0080,17.56734876266658,78.44590364553699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,993.3862515620615,HYD_0081,17.56747102475775,78.4553179786137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,807.0458129005777,HYD_0082,17.5675921527289,78.46473334083542,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,571.3621614919937,HYD_0083,17.567712215961233,78.47414762352567,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,289.63788938572634,HYD_0084,17.567832570838934,78.48356076494143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,7.518236483296895,HYD_0085,17.56795108015855,78.4929750369072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,591.796084311773,HYD_0086,17.56806853915573,78.50239044768749,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,122.6031430835248,HYD_0087,17.568189292262396,78.51180472591675,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,23.395446968583734,HYD_0088,17.56830783131908,78.52121897686234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,336.25204605012055,HYD_0089,17.568424535007587,78.53063362827326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,461.432908817291,HYD_0090,17.568542311148146,78.54004714337353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,560.6613174891385,HYD_0091,17.56866009500062,78.54946291052075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,18.62946944006661,HYD_0092,17.568775695776676,78.5588772161333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,278.7451495504749,HYD_0093,17.568891628486714,78.56829261289414,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,783.6422599177424,HYD_0094,17.56900755604992,78.57770799068616,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,112.14197952611755,HYD_0095,17.569122392308543,78.58712377817756,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,1069.135059606703,HYD_0096,17.569236077964913,78.59653842281168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,1794.6011560335785,HYD_0097,17.569351251688452,78.60595306123679,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,1237.4515303035973,HYD_0098,17.569464262273204,78.6153684611338,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,262.8033958934147,HYD_0099,17.569577579180667,78.62478424105198,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,1246.0663941427938,HYD_0100,17.556189880329654,78.28600920863883,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,1105.1795638832782,HYD_0101,17.556318035856094,78.29542197860081,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,674.1136043415338,HYD_0102,17.556445143590437,78.30483590891266,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,297.36561873843635,HYD_0103,17.556573335463327,78.31424871290127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,306.1000129989013,HYD_0104,17.556700788481166,78.32366073429992,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,418.2793354417994,HYD_0105,17.556827522043626,78.33307279269816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,1309.483712943126,HYD_0106,17.556954604521994,78.34248595391533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,1710.4258756878753,HYD_0107,17.55708056161127,78.3518987492598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,1367.9516950375319,HYD_0108,17.557207662160287,78.36131268513476,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,747.4437058101623,HYD_0109,17.557333594297184,78.37072544338761,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,177.33229482664552,HYD_0110,17.557458471951886,78.38013861373143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,45.67071236139275,HYD_0111,17.557581094632745,78.38955176871904,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,23.516468280556367,HYD_0112,17.557703733315257,78.39896493336282,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,94.06306510821136,HYD_0113,17.557828604068828,78.40837808285534,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,257.4787856353782,HYD_0114,17.557951219857,78.41779124409129,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,152.66248238720397,HYD_0115,17.55807382354184,78.42720442586398,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,235.7715225819532,HYD_0116,17.558196436413176,78.43661757418121,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,415.23063194714297,HYD_0117,17.55831796647466,78.44603112649952,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,48.04616628962358,HYD_0118,17.55844093271277,78.45544461673168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,181.18395225823554,HYD_0119,17.558562115484758,78.46485931712593,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,291.1143310947954,HYD_0120,17.55868252458045,78.47427244828356,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,388.4495998634542,HYD_0121,17.558801797171796,78.48368597251938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,58.00886655179164,HYD_0122,17.55891991338633,78.49309838708598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,52.3281652302999,HYD_0123,17.559039561090113,78.5025130584123,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,529.8968542598459,HYD_0124,17.559158142823172,78.51192885506146,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,16.877959177492,HYD_0125,17.559276662903933,78.52134233614284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,197.95605902582108,HYD_0126,17.559393736897274,78.53075589030496,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,476.93972034351816,HYD_0127,17.55951112895936,78.54017053791435,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,94.63254827850591,HYD_0128,17.559628945646132,78.54958406934435,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,160.84063116152208,HYD_0129,17.559745653020222,78.55899873503074,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,92.04936318991017,HYD_0130,17.559861188359175,78.56841447122146,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,215.88517722391805,HYD_0131,17.559975637697605,78.57782837901836,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,505.92394843716,HYD_0132,17.56009081888807,78.58724227582816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,1349.5674936922485,HYD_0133,17.56020493298845,78.59665809557518,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,1642.133047479334,HYD_0134,17.56032010074319,78.6060727294006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,1273.442322932451,HYD_0135,17.560434140673667,78.6154862264686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,286.1007774517313,HYD_0136,17.56054605488679,78.62490202818702,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,1183.19796343224,HYD_0137,17.54650948466101,78.2390871875539,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,1480.355842402581,HYD_0138,17.54663921610072,78.24849777121493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,512.3553501012884,HYD_0139,17.546771501345898,78.25790945580336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,464.69883926389224,HYD_0140,17.546901554903428,78.26732111513186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,301.0397312153739,HYD_0141,17.5470305243455,78.27673315214798,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,274.6896241554771,HYD_0142,17.54716054509241,78.28614405447837,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,300.4364786968483,HYD_0143,17.547289477055713,78.29555611555024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,250.6380643995808,HYD_0144,17.5474165593197,78.30496929101274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,629.5340438475706,HYD_0145,17.547544020522675,78.31438134351957,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,693.1596239394177,HYD_0146,17.547671495348414,78.32379193572872,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,732.1590445498795,HYD_0147,17.547798967245043,78.33320474725173,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,1440.7854460473804,HYD_0148,17.547924929721106,78.34261750272947,"{""type"":""MultiPoint"",""coordinates"":[]}"
