system:index,grid_id,latitude,longitude,nighttime_lights,.geo
0000000000000000007d,HYD_0126,17.559393736897274,78.53075589030496,8.234322226740856,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,HYD_0127,17.55951112895936,78.54017053791435,9.378368911516928,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,HYD_0128,17.559628945646132,78.54958406934435,12.081639322509911,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,HYD_0129,17.559745653020222,78.55899873503074,9.784540919578287,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,HYD_0130,17.559861188359175,78.56841447122146,5.6479404819492105,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,HYD_0131,17.559975637697605,78.57782837901836,6.30802761412472,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,HYD_0132,17.56009081888807,78.58724227582816,6.823754505519448,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,HYD_0133,17.56020493298845,78.59665809557518,3.8656683589906673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,HYD_0134,17.56032010074319,78.6060727294006,3.149360959449511,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,HYD_0135,17.560434140673667,78.6154862264686,3.2318205451339677,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,HYD_0136,17.56054605488679,78.62490202818702,6.460105580791062,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,HYD_0137,17.54650948466101,78.2390871875539,18.61849897529574,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,HYD_0138,17.54663921610072,78.24849777121493,13.637089054556045,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,HYD_0139,17.546771501345898,78.25790945580336,15.576600313410092,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,HYD_0140,17.546901554903428,78.26732111513186,26.823160008991263,"{""type"":""MultiPoint"",""coordinates"":[]}"
