system:index,built_up_density,grid_id,latitude,longitude,.geo
00000000000000000038,0.18101903128610042,HYD_0057,17.57709970152834,78.5022663367129,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,0.21333730321188,HYD_0058,17.577219338640802,78.51168099803705,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,0.14428942218728766,HYD_0059,17.57733680967052,78.5210963889751,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,0.017138010333868907,HYD_0060,17.577455666362706,78.53051174740453,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,0.09458640990658139,HYD_0061,17.57757348250577,78.53992600922149,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,0.04241191610267149,HYD_0062,17.577689423716023,78.5493414079902,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,0.11715321674000279,HYD_0063,17.57780535424635,78.55875682661879,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,0.18549792916328192,HYD_0064,17.57792129283025,78.56817221188997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,0.18743166530602182,HYD_0065,17.578037249137036,78.57758761692354,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,0.18832171542665013,HYD_0066,17.578153180094557,78.58700300696319,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,0.12598422559989347,HYD_0067,17.578268353832513,78.59641990186236,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,0.07661599094489922,HYD_0068,17.578381339703657,78.60583451242371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,0.07675676802480068,HYD_0069,17.565857175802567,78.33294123194425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,0.07277410901077301,HYD_0070,17.565984256590287,78.34235441277227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,0.17074489054070205,HYD_0071,17.56610912455833,78.35176756863382,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,0.30630396886226735,HYD_0072,17.566236224578997,78.361180744498,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,0.22680127682902182,HYD_0073,17.566488503043363,78.38000817905987,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,0.12440061184961658,HYD_0074,17.566610782355408,78.38942248684701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,0.1333832900400027,HYD_0075,17.566733386881264,78.39883562599661,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,0.10208717379068383,HYD_0076,17.566858254068503,78.40824877955703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,0.09962427636998747,HYD_0077,17.566980894543462,78.41766194666175,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,0.326052337108214,HYD_0078,17.567103507961328,78.42707510291777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,0.21839062920442548,HYD_0079,17.567226491349537,78.4364893740968,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,0.14462515955943925,HYD_0080,17.56734876266658,78.44590364553699,"{""type"":""MultiPoint"",""coordinates"":[]}"
