date,station_id,station_name,ground_no2_mean,valid_readings,total_readings,coverage_percent
2025-03-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.212903225806453,93,96,96.875
2025-03-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.64022988505747,87,96,90.625
2025-03-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.942857142857147,91,96,94.79166666666666
2025-03-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.395604395604394,91,96,94.79166666666666
2025-03-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,64,96,66.66666666666666
2025-03-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",23.155434782608697,92,96,95.83333333333334
2025-03-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.60595238095238,84,96,87.5
2025-03-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,66,96,68.75
2025-03-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,0,96,0.0
2025-03-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,29,96,30.208333333333332
2025-03-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,58,96,60.416666666666664
2025-03-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.68913043478261,92,96,95.83333333333334
2025-03-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",37.92840909090909,88,96,91.66666666666666
2025-03-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.13295454545454,88,96,91.66666666666666
2025-03-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.12808988764045,89,96,92.70833333333334
2025-03-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",35.08351648351648,91,96,94.79166666666666
2025-03-31,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.214130434782607,92,96,95.83333333333334
2025-04-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.808433734939758,83,96,86.45833333333334
2025-04-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,70,96,72.91666666666666
2025-04-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.819354838709675,93,96,96.875
2025-04-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",23.44090909090909,88,96,91.66666666666666
2025-04-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.04888888888889,90,96,93.75
2025-04-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.19677419354839,93,96,96.875
