date,station_id,station_name,grid_id,latitude,longitude,ground_no2_mean,valid_readings,coverage_percent
2025-03-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,29,30.20833333333333
2025-03-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,58,60.41666666666666
2025-03-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,24.68913043478261,92,95.83333333333334
2025-03-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,37.92840909090909,88,91.66666666666666
2025-03-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.13295454545454,88,91.66666666666666
2025-03-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.12808988764045,89,92.70833333333334
2025-03-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,35.08351648351648,91,94.79166666666666
2025-03-31,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.214130434782607,92,95.83333333333334
2025-04-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.80843373493976,83,86.45833333333334
2025-04-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,70,72.91666666666666
2025-04-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.819354838709675,93,96.875
2025-04-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,23.44090909090909,88,91.66666666666666
2025-04-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.04888888888889,90,93.75
2025-04-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,27.19677419354839,93,96.875
2025-04-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.86333333333333,90,93.75
2025-04-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,68,70.83333333333334
2025-04-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,68,70.83333333333334
2025-04-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,35.353658536585364,82,85.41666666666666
2025-04-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.19120879120879,91,94.79166666666666
2025-04-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.04065934065934,91,94.79166666666666
2025-04-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.96818181818181,88,91.66666666666666
2025-04-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.90860215053764,93,96.875
2025-04-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.417977528089885,89,92.70833333333334
2025-04-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,23.30989010989011,91,94.79166666666666
2025-04-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.562025316455696,79,82.29166666666666
2025-04-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,24.34888888888889,90,93.75
2025-04-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.225,88,91.66666666666666
2025-04-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,21.808602150537634,93,96.875
2025-04-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,24.46021505376344,93,96.875
2025-04-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,27.95357142857143,84,87.5
2025-04-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.226136363636364,88,91.66666666666666
2025-04-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.00879120879121,91,94.79166666666666
2025-04-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,61,63.54166666666666
2025-04-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,70,72.91666666666666
2025-04-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,27.678021978021977,91,94.79166666666666
2025-04-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,20.404301075268812,93,96.875
2025-04-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.06153846153846,91,94.79166666666666
2025-04-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.403260869565216,92,95.83333333333334
2025-05-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,24.268478260869564,92,95.83333333333334
2025-05-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,34.40561797752809,89,92.70833333333334
2025-05-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.66344086021505,93,96.875
2025-05-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,22.967741935483872,93,96.875
2025-05-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,34.33586956521739,92,95.83333333333334
2025-05-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,22.558064516129036,93,96.875
2025-05-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.451612903225808,93,96.875
2025-05-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.084269662921347,89,92.70833333333334
2025-05-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.725806451612904,93,96.875
2025-05-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.18809523809524,84,87.5
2025-05-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,45,46.875
2025-05-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,60,62.5
2025-05-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,51,53.125
2025-05-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.694565217391304,92,95.83333333333334
2025-05-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.224175824175827,91,94.79166666666666
2025-05-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,66,68.75
2025-05-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,59,61.458333333333336
2025-05-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.65217391304348,92,95.83333333333334
2025-05-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.4,88,91.66666666666666
2025-05-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,24.895698924731185,93,96.875
2025-05-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.61358024691358,81,84.375
2025-05-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.141463414634146,82,85.41666666666666
2025-05-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.75268817204301,93,96.875
2025-05-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.577528089887643,89,92.70833333333334
2025-05-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.241573033707866,89,92.70833333333334
2025-05-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.002150537634407,93,96.875
2025-05-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.83333333333333,93,96.875
2025-05-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.25698924731183,93,96.875
2025-05-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.76129032258065,93,96.875
2025-05-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,27.08214285714286,84,87.5
2025-05-31,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.315584415584414,77,80.20833333333334
2025-06-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.962365591397848,93,96.875
2025-06-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.186021505376345,93,96.875
2025-06-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.074193548387097,93,96.875
2025-06-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,35.353488372093025,86,89.58333333333334
2025-06-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,39.36941176470588,85,88.54166666666666
2025-06-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.732258064516127,93,96.875
2025-06-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.00987654320988,81,84.375
2025-06-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.162921348314608,89,92.70833333333334
2025-06-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.28082191780822,73,76.04166666666666
2025-06-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,49,51.04166666666666
2025-06-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.696666666666665,90,93.75
2025-06-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.819354838709675,93,96.875
2025-06-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.586021505376344,93,96.875
2025-06-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,24.223684210526315,76,79.16666666666666
2025-06-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.814285714285717,91,94.79166666666666
2025-06-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,48,50.0
2025-06-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,23.35108695652174,92,95.83333333333334
2025-06-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.07857142857143,84,87.5
2025-06-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.275,92,95.83333333333334
2025-06-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,69,71.875
2025-06-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,55,57.29166666666666
2025-06-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,27.462637362637363,91,94.79166666666666
2025-06-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,27.16774193548387,93,96.875
2025-06-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,24.065591397849463,93,96.875
2025-06-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.093333333333334,90,93.75
2025-06-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,40.23678160919541,87,90.625
2025-06-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.27391304347826,92,95.83333333333334
2025-06-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.686813186813183,91,94.79166666666666
2025-06-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,59,61.458333333333336
2025-06-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,51,53.125
2025-07-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.21190476190477,84,87.5
2025-07-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.067741935483877,93,96.875
2025-07-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,34.48202247191011,89,92.70833333333334
2025-07-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.523376623376624,77,80.20833333333334
2025-07-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.243820224719094,89,92.70833333333334
2025-07-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.105376344086025,93,96.875
2025-07-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.176344086021505,93,96.875
2025-07-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,34.673611111111114,72,75.0
2025-07-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.21505376344086,93,96.875
2025-07-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,23.718279569892477,93,96.875
2025-07-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.54731182795699,93,96.875
2025-07-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,25.456666666666667,90,93.75
2025-07-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,27.193548387096776,93,96.875
2025-07-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.123076923076923,91,94.79166666666666
2025-07-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.125806451612902,93,96.875
2025-07-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.04878048780488,82,85.41666666666666
2025-07-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.458227848101263,79,82.29166666666666
