system:index,grid_id,latitude,longitude,ndvi,.geo
0000000000000000006c,HYD_0109,17.557333594297184,78.37072544338761,0.19929594470449732,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,HYD_0110,17.557458471951886,78.38013861373143,0.08700214774882306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,HYD_0111,17.557581094632745,78.38955176871904,0.28802318516504155,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,HYD_0112,17.557703733315257,78.39896493336282,0.2511271339773498,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,HYD_0113,17.557828604068828,78.40837808285534,0.34781009747715363,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,HYD_0114,17.557951219857,78.41779124409129,0.36779334206708847,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,HYD_0115,17.55807382354184,78.42720442586398,0.32430285309029644,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,HYD_0116,17.558196436413176,78.43661757418121,0.22138576867230084,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,HYD_0117,17.55831796647466,78.44603112649952,0.38076760944674604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,HYD_0118,17.55844093271277,78.45544461673168,0.26061189043987193,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,HYD_0119,17.558562115484758,78.46485931712593,0.34091005528195484,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,HYD_0120,17.55868252458045,78.47427244828356,0.3109332783639182,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,HYD_0121,17.558801797171796,78.48368597251938,0.3054206914029625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,HYD_0122,17.55891991338633,78.49309838708598,0.2971700705880666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,HYD_0123,17.559039561090113,78.5025130584123,0.346176205910462,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,HYD_0124,17.559158142823172,78.51192885506146,0.43703997089521524,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,HYD_0125,17.559276662903933,78.52134233614284,0.31005222827155804,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,HYD_0126,17.559393736897274,78.53075589030496,0.33979391482788196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,HYD_0127,17.55951112895936,78.54017053791435,0.38745199739927416,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,HYD_0128,17.559628945646132,78.54958406934435,0.2964801976696464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,HYD_0129,17.559745653020222,78.55899873503074,0.3257465738725817,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,HYD_0130,17.559861188359175,78.56841447122146,0.3485974898303827,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,HYD_0131,17.559975637697605,78.57782837901836,0.3184587727165786,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,HYD_0132,17.56009081888807,78.58724227582816,0.26434746713110346,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,HYD_0133,17.56020493298845,78.59665809557518,0.4188258767472591,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,HYD_0134,17.56032010074319,78.6060727294006,0.45119452906197316,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,HYD_0135,17.560434140673667,78.6154862264686,0.3408037903603748,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,HYD_0136,17.56054605488679,78.62490202818702,0.38965618186896045,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,HYD_0137,17.54650948466101,78.2390871875539,0.32000885094696263,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,HYD_0138,17.54663921610072,78.24849777121493,0.3064246471997951,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,HYD_0139,17.546771501345898,78.25790945580336,0.33661661888354755,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,HYD_0140,17.546901554903428,78.26732111513186,0.26562902100820096,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,HYD_0141,17.5470305243455,78.27673315214798,0.27615665499521425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,HYD_0142,17.54716054509241,78.28614405447837,0.22697718898148114,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,HYD_0143,17.547289477055713,78.29555611555024,0.20128493856117416,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,HYD_0144,17.5474165593197,78.30496929101274,0.27903113700697246,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,HYD_0145,17.547544020522675,78.31438134351957,0.22683011354464896,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,HYD_0146,17.547671495348414,78.32379193572872,0.22061818893989607,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,HYD_0147,17.547798967245043,78.33320474725173,0.2034832472468389,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,HYD_0148,17.547924929721106,78.34261750272947,0.17160632871768383,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,HYD_0149,17.54805236505125,78.3520295467148,0.21529285506399926,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,HYD_0150,17.548179058282784,78.36144160190456,0.21794980774585784,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,HYD_0151,17.548303914588484,78.3708547646274,0.2093335664259676,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,HYD_0152,17.548428780853985,78.38026791494704,0.31895138119395816,"{""type"":""MultiPoint"",""coordinates"":[]}"
