system:index,elevation_m,grid_id,latitude,longitude,.geo
0000000000000000003e,575.1443060623424,HYD_0063,17.57780535424635,78.55875682661879,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,569.0811961232173,HYD_0064,17.57792129283025,78.56817221188997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,565.1761390670338,HYD_0065,17.578037249137036,78.57758761692354,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,573.4988546473853,HYD_0066,17.578153180094557,78.58700300696319,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,578.0683456972066,HYD_0067,17.578268353832513,78.59641990186236,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,570.7399260529422,HYD_0068,17.578381339703657,78.60583451242371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,557.9030335316835,HYD_0069,17.565857175802567,78.33294123194425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,560.7059665087481,HYD_0070,17.565984256590287,78.34235441277227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,566.621524089706,HYD_0071,17.56610912455833,78.35176756863382,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,572.5027992481733,HYD_0072,17.566236224578997,78.361180744498,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,598.2386029436396,HYD_0073,17.566488503043363,78.38000817905987,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,599.960361338401,HYD_0074,17.566610782355408,78.38942248684701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,598.2703731375794,HYD_0075,17.566733386881264,78.39883562599661,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,605.4918566120426,HYD_0076,17.566858254068503,78.40824877955703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,618.200773986029,HYD_0077,17.566980894543462,78.41766194666175,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,612.8164733396327,HYD_0078,17.567103507961328,78.42707510291777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,607.5754048277855,HYD_0079,17.567226491349537,78.4364893740968,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,598.6341498554251,HYD_0080,17.56734876266658,78.44590364553699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,604.692819937363,HYD_0081,17.56747102475775,78.4553179786137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,598.2732830411154,HYD_0082,17.5675921527289,78.46473334083542,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,590.1580707309317,HYD_0083,17.567712215961233,78.47414762352567,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,593.650924272326,HYD_0084,17.567832570838934,78.48356076494143,"{""type"":""MultiPoint"",""coordinates"":[]}"
