system:index,bare_fraction,builtup_fraction,cropland_fraction,grid_id,latitude,longitude,vegetation_fraction,water_fraction,.geo
0000000000000000013d,0.022816292403693733,0.6401131447959133,0.0599447683567002,HYD_0318,17.511428637641245,78.31491157950893,0.27712579444368846,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e,0.13344692483594367,0.22796473821813937,0.10721436392482818,HYD_0319,17.511555009556005,78.32432330967174,0.5295978488376403,0.0017761241834446848,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f,0.05729933652380769,0.24102925751656074,0.01989683892820612,HYD_0320,17.511681697105473,78.33373386234265,0.6800383363313065,0.0017362307001183663,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000140,0.05077862696630637,0.15487550124820904,0.08496462073103377,HYD_0321,17.511808440001065,78.34314370386979,0.7093812510544509,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141,0.018076602437245348,0.42508071341311504,0.12207822284907274,HYD_0322,17.511935149407307,78.35255352127851,0.43476446130056706,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000142,0.004870625522211774,0.4700900177682313,0.05144670349392255,HYD_0323,17.512060708855238,78.36196443371045,0.47359265321563243,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143,0.01404264748876643,0.6628691990979633,0.010618111123318683,HYD_0324,17.512185219013052,78.37137426056398,0.3124700422899512,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144,0.010263483129336793,0.7530033651984877,0.04877713749664971,HYD_0325,17.51231007904042,78.38078520111999,0.1879560141755265,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,0.04350036386551059,0.6123174992867948,0.1880711701572184,HYD_0326,17.512432691552885,78.39019613550386,0.15611096669047766,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146,0.013313057688799881,0.29147566736527053,0.30234299094296646,HYD_0327,17.51255531551321,78.39960707122708,0.3928682840029632,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147,0.02687320855826035,0.5647484478825896,0.02366508966424221,HYD_0328,17.512680552002205,78.4090190733573,0.36711104723337,0.017602206661538247,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148,0.022575990855219424,0.4942236338215392,0.087134567158844,HYD_0329,17.51280248444641,78.41843003542078,0.3960658081643975,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149,0.006720515687595261,0.9461506067230484,0.007596279048292477,HYD_0330,17.51292581206096,78.4278409389879,0.03953259854106469,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014a,0.0027620791627228805,0.5622298148163323,0.001210504092479386,HYD_0331,17.513047722149295,78.43725189652712,0.4337976019284666,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
