system:index,distance_to_water_m,grid_id,latitude,longitude,.geo
0000000000000000004d,768.676466849081,HYD_0078,17.567103507961328,78.42707510291777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,354.71699278737805,HYD_0079,17.567226491349537,78.4364893740968,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,1100.3485583805857,HYD_0080,17.56734876266658,78.44590364553699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,1941.6802544310951,HYD_0081,17.56747102475775,78.4553179786137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,1592.2614876851,HYD_0082,17.5675921527289,78.46473334083542,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,1166.1304358131267,HYD_0083,17.567712215961233,78.47414762352567,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,1141.8632655856677,HYD_0084,17.567832570838934,78.48356076494143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,1801.497136422395,HYD_0085,17.56795108015855,78.4929750369072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,2680.561282922309,HYD_0086,17.56806853915573,78.50239044768749,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,3622.7038989455195,HYD_0087,17.568189292262396,78.51180472591675,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,2892.6730655718943,HYD_0088,17.56830783131908,78.52121897686234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,2286.5067578451417,HYD_0089,17.568424535007587,78.53063362827326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,1998.0002365915407,HYD_0090,17.568542311148146,78.54004714337353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,2162.705843222109,HYD_0091,17.56866009500062,78.54946291052075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,2420.0623487556536,HYD_0092,17.568775695776676,78.5588772161333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,1518.9417989132598,HYD_0093,17.568891628486714,78.56829261289414,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,541.6672257211304,HYD_0094,17.56900755604992,78.57770799068616,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,340.52533030905164,HYD_0095,17.569122392308543,78.58712377817756,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,1280.9077425585785,HYD_0096,17.569236077964913,78.59653842281168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,2272.33921330639,HYD_0097,17.569351251688452,78.60595306123679,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,2626.2023617045525,HYD_0098,17.569464262273204,78.6153684611338,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,3083.6633645393845,HYD_0099,17.569577579180667,78.62478424105198,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,1511.901168499822,HYD_0100,17.556189880329654,78.28600920863883,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,657.4459285467624,HYD_0101,17.556318035856094,78.29542197860081,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,476.0993510478595,HYD_0102,17.556445143590437,78.30483590891266,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,1145.3762553966776,HYD_0103,17.556573335463327,78.31424871290127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,1091.019412707246,HYD_0104,17.556700788481166,78.32366073429992,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,514.2375549051554,HYD_0105,17.556827522043626,78.33307279269816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,905.1770991856282,HYD_0106,17.556954604521994,78.34248595391533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,1513.81612593902,HYD_0107,17.55708056161127,78.3518987492598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,1505.621731870345,HYD_0108,17.557207662160287,78.36131268513476,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,507.27094682406533,HYD_0109,17.557333594297184,78.37072544338761,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,220.09194101781688,HYD_0110,17.557458471951886,78.38013861373143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,537.8754338892418,HYD_0111,17.557581094632745,78.38955176871904,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,1145.5711607122312,HYD_0112,17.557703733315257,78.39896493336282,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,2071.391455304767,HYD_0113,17.557828604068828,78.40837808285534,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,1818.8132855469455,HYD_0114,17.557951219857,78.41779124409129,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,955.0661007433721,HYD_0115,17.55807382354184,78.42720442586398,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,600.4061945108267,HYD_0116,17.558196436413176,78.43661757418121,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,1227.214795814398,HYD_0117,17.55831796647466,78.44603112649952,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,1262.8985444981959,HYD_0118,17.55844093271277,78.45544461673168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,600.0916082723169,HYD_0119,17.558562115484758,78.46485931712593,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,424.1918249632405,HYD_0120,17.55868252458045,78.47427244828356,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,473.387213546685,HYD_0121,17.558801797171796,78.48368597251938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,1471.570318516574,HYD_0122,17.55891991338633,78.49309838708598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,2470.9470247171785,HYD_0123,17.559039561090113,78.5025130584123,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,3234.760335459834,HYD_0124,17.559158142823172,78.51192885506146,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,2308.0487951346204,HYD_0125,17.559276662903933,78.52134233614284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,1479.239399437672,HYD_0126,17.559393736897274,78.53075589030496,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,1004.5528083922591,HYD_0127,17.55951112895936,78.54017053791435,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,1301.6148672484912,HYD_0128,17.559628945646132,78.54958406934435,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,2092.2349430734016,HYD_0129,17.559745653020222,78.55899873503074,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,1153.0707404251814,HYD_0130,17.559861188359175,78.56841447122146,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,184.82094108312003,HYD_0131,17.559975637697605,78.57782837901836,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,803.7955251962536,HYD_0132,17.56009081888807,78.58724227582816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,1108.285523265298,HYD_0133,17.56020493298845,78.59665809557518,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,1508.3290608500251,HYD_0134,17.56032010074319,78.6060727294006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,1702.9071569395037,HYD_0135,17.560434140673667,78.6154862264686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,2347.669301517373,HYD_0136,17.56054605488679,78.62490202818702,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,3058.4405241791114,HYD_0137,17.54650948466101,78.2390871875539,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,2437.926946607455,HYD_0138,17.54663921610072,78.24849777121493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,2128.673980401242,HYD_0139,17.546771501345898,78.25790945580336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,2261.7656723979067,HYD_0140,17.546901554903428,78.26732111513186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,2142.571437178104,HYD_0141,17.5470305243455,78.27673315214798,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,1455.918322384435,HYD_0142,17.54716054509241,78.28614405447837,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,573.4901896062731,HYD_0143,17.547289477055713,78.29555611555024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,314.06784672861585,HYD_0144,17.5474165593197,78.30496929101274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,454.86065309209,HYD_0145,17.547544020522675,78.31438134351957,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,1037.5115317347913,HYD_0146,17.547671495348414,78.32379193572872,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,429.62660398344815,HYD_0147,17.547798967245043,78.33320474725173,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,1106.9898775139748,HYD_0148,17.547924929721106,78.34261750272947,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,2052.525731919696,HYD_0149,17.54805236505125,78.3520295467148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,1784.8975732397103,HYD_0150,17.548179058282784,78.36144160190456,"{""type"":""MultiPoint"",""coordinates"":[]}"
